gion code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
1,23,"Майкопское специализированное отделение по обеспечению установленного порядка деятельности судов","385000, Россия, респ. Адыгея, , г. Майкоп, , ул. Курганная, д. 345, ,","Татлок Аслан Бадурдинович"," (8772) 568966",,,+78772569626,"понедельник с 9.00 до 18.00","Муниципальные образования Республики Адыгеи (Адыгеи)"
1,24,"Отделение оперативного дежурства","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Калашаов Аскар Январбиевич","8(8772) 56-89-66",,,+78772569626,-,"- город Майкоп"
2,0,"ГУФССП России по Республике Башкортостан","450006, Россия, Респ. Башкортостан, , г. Уфа, , ул. Цюрупы, д. 95, ,","Махмутов Ильнур Анварович",+7(347)272-16-46,+7(347)272-18-87,,+73472721646,"В рабочие дни - в четверг с 16.00 час. до 20.00 час. в нерабочие дни - первая су","- город Уфа"
2,1,"Демское РОСП г. Уфы","450024, Россия, Респ. Башкортостан, , г. Уфа, , ул. Мусоргского, д. 19, корп. б,","Христель Елена Вольдемаровна",+7(347)272-16-46,7(347)281-22-78,+7(347)272-16-46,+7(347)276-62-24,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,2,"Калининский РОСП г. Уфы","450112, Россия, респ. Башкортостан, , г. Уфа, , ул. Новочеркасская, д. 18, ,","Каюмова Василя Фаритовна",+7(347)272-16-46,"7(347) 263-05-09",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,3,"Кировский РОСП г. Уфы","450008, Россия, Респ. Башкортостан, , г. Уфа, , ул. Цюрупы, д. 95, ,","Ишмуллин Радмир Искужевич",+7(347)272-16-46,"(347) 276-19-49",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,4,"Ленинское РОСП г. Уфы","450075, Россия, Респ. Башкортостан, , г. Уфа, , ул. Гафури, д. 6, ,","Субаргушева Элина Валентиновна",+7(347)272-16-46,"8 (347) 251-16-19",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,5,"Октябрьский РОСП г. Уфы","450008, Россия, Респ. Башкортостан, , г. Уфа, , ул. Цюрупы, д. 95, ,","Зубков Роман Владимирович",+7(347)272-16-46,"(347) 272-60-06",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,6,"Орджоникидзевский РОСП г. Уфы","450112, Россия, респ. Башкортостан, , г. Уфа, , ул. Новочеркасская, д. 18, ,","Валиев Ильшат Радикович",+7(347)272-16-46,"(347) 260-80-71",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,7,"Советский РОСП г. Уфы","450008, Россия, Респ. Башкортостан, , г. Уфа, , ул. Цюрупы, д. 95, ,","Гайнетдинов Руслан Фавадисович",+7(347)272-16-46,"(347) 276-19-86",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,9,"ОСП по г. Кумертау и Куюргазинскому району","453303, Россия, Респ. Башкортостан, , г. Кумертау, , ул. Бабаевская, д. 20, ,","Биганякова Эльвира Галеевна",+7(347)272-16-46,"(34761) 3-48-35",+7(347)272-16-46,+7(347)276-62-24,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18, Зам. Нач. - среда с 9 до 13, с 14 до 18","- город Кумертау"
2,10,"Межгорьевское ГОСП","453571, Россия, респ. Башкортостан, , г. Межгорье, , ул. Советская, д. 27, ,","Чембарская Дина Юрьевна","8 (34781) 2-24-40","(34781) 2-33-47",+7(34781)2-24-40,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- ЗАТО город Межгорье"
2,11,"Октябрьское ГОСП","452601, Россия, Респ. Башкортостан, , г. Октябрьский, , Островского проезд, д. 10, корп. а,","Каримов Ренат Аксянович",+7(347)272-16-46,"8 (34767) 5-33-62",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Октябрьский"
2,12,"Салаватское ГОСП","453252, Россия, Респ. Башкортостан, , г. Салават, , ул. Хмельницкого, д. 21, ,","Багаутдинов Ильдар Саматович",+7(347)272-16-46,"(34763) 5-68-45",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Салават"
2,13,"Сибайское ГОСП","453839, Россия, Респ. Башкортостан, , г. Сибай, , ул. Заки Валиди, д. 39, ,","Князев Александр Александрович",+7(347)272-16-46,"(34775) 2-24-58",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Сибай"
2,14,"ОСП по г. Баймаку и Баймакскому району","453630, Россия, респ. Башкортостан, , г. Баймак, , ул. Мира, д. 1, корп. Б,","Идельбекова Аэлита Мавлетдиновна",+7(347)272-16-46,"(34751) 3-14-17",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","г Баймак"
2,15,"ОСП по г. Белебею и Белебеевскому району","452005, Россия, Респ. Башкортостан, Белебеевский р-н, г. Белебей, , ул. Красная, д. 109, корп. 1,","Чурсин Евгений Евгеньевич",+7(347)272-16-46,"8 (34786) 5-55-12",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","г Белебей"
77,9,"Головинский ОСП","127083, Россия, г. Москва, , , , ул. Мишина, д. 56, корп. 8,","Устинов Роман Валерьевич",+7(499)558-32-60,,+7(499)558-32-60,+74956657284,"ВТ с 09.00 до 13.00 ЧТ с 13.00 до 18.00","- муниципальный округ Головинский"
2,16,"ОСП по г. Белорецку и Белорецкому району","453501, Россия, Респ. Башкортостан, Белорецкий р-н, г. Белорецк, , ул. Карла Маркса, д. 79, ,","Бакеева Лиана Римовна",+7(347)272-16-46,"(34792) 3-33-18",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Белорецк"
2,17,"ОСП по г. Бирску и Бирскому району","452453, Россия, Респ. Башкортостан, Бирский р-н, г. Бирск, , ул. Балезина, д. 24, ,","Газизова Диана Рифовна",+7(347)272-16-46,"8 (34784) 4-61-77",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Бирск"
2,18,"ОСП по г. Благовещенску и Благовещенскому району","453430, Россия, респ. Башкортостан, , г. Благовещенск, , ул. Зенцова, д. 4, ,","Рахимкулова Вера Александровна",+7(347)272-16-46,"8 (34766) 2-22-41",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Благовещенск"
2,19,"ОСП по г. Давлеканово и Давлекановскому району","453403, Россия, Респ. Башкортостан, Давлекановский р-н, г. Давлеканово, , ул. Карла Маркса, д. 39, ,","Прошин Юрий Александрович",+7(347)272-16-46,"(34768) 3-02-21",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Давлеканово"
2,20,"ОСП по г. Дюртюли и Дюртюлинскому району","452320, Россия, Респ. Башкортостан, Дюртюлинский р-н, г. Дюртюли, , пер. Марии Якутовой, д. 9, ,","Назаров Кавказ Альярович",+7(347)272-16-46,"(34787) 3-20-54",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Дюртюли"
2,49,"Караидельское РОСП","452360, Россия, Респ. Башкортостан, Караидельский р-н, , с. Караидель, ул. Калинина, д. 4, ,","Якупов Салават Ахметкамалович","8 (34744) 2-10-91","(34744) 2-10-91",+7(34744)2-10-91,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Караидельский сельсовет"
2,21,"ОСП по г. Ишимбаю и Ишимбайскому району","453215, Россия, Респ. Башкортостан, Ишимбайский р-н, г. Ишимбай, , ул. Стахановская, д. 63, ,","Таратунина Юлия Александровна",+7(347)272-16-46,"(34794) 4-23-85",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Ишимбай"
2,22,"ОСП по г. Мелеузу и Мелеузовскому району","453850, Россия, Респ. Башкортостан, Мелеузовский р-н, г. Мелеуз, , ул. Воровского, д. 10, ,","Елисеев Сергей Вячеславович",+7(347)272-16-46,"(34764) 3-20-33",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Мелеуз"
2,23,"ОСП по г. Нефтекамску и Краснокамскому району","452684, Россия, Респ. Башкортостан, , г. Нефтекамск, , ул. Нефтяников, д. 25, корп. а,","Насыров Рустам Юнерович",+7(347)272-16-46,"(34783) 4-68-51",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Нефтекамск"
2,24,"Стерлитамакский ГОСП","453103, Россия, Респ. Башкортостан, , г. Стерлитамак, , ул. Дружбы, д. 3, ,","Миргалиева Гульнара Ильмировна",+7(3473)20-88-78,"(3473) 20-63-73",+7(3473)20-88-78,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Стерлитамак"
2,25,"ОСП по г. Туймазы и Туймазинскому району","452750, Россия, Респ. Башкортостан, Туймазинский р-н, г. Туймазы, , ул. Гагарина, д. 38, ,","Силов Артем Сергеевич",+7(347)272-16-46,"(34782) 7-13-61",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Туймазы"
2,26,"ОСП по г. Учалы и Учалинскому району","453700, Россия, Респ. Башкортостан, Учалинский р-н, г. Учалы, , ул. Башкортостана, д. 7, ,","Абзалетдинов Артур Амзатович",+7(347)272-16-46,"(34791) 6-26-97",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Учалы"
2,27,"ОСП по г. Янаулу и Янаульскому","452800, Россия, Респ. Башкортостан, , г. Янаул, , ул. Советская, д. 21, , ","Идиятулин Роман Вячеславович",+7(347)272-16-46,"(34760) 5-50-85",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Янаул"
2,28,"Абзелиловское РОСП","453620, Россия, Респ. Башкортостан, Абзелиловский р-н, , с. Аскарово, ул. Коммунистическая, д. 8, корп. а,","Хасанова Айгуль Ирековна","8 (34772) 2-04-51","(34772) 2-04-51",+7(34772)2-04-51,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Аскаровский сельсовет"
2,29,"Альшеевское РОСП","452120, Россия, Респ. Башкортостан, Альшеевский р-н, , с. Раевский, ул. Ленина, д. 90, ,","Хабибуллин Денис Рифатович","8 (34754) 3-07-91","(34754) 3-01-53 ",+7(34754)3-07-91,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Раевский"
2,30,"Архангельское РОСП","453030, Россия, Респ. Башкортостан, Архангельский р-н, , с. Архангельское, ул. Ленина, д. 8, ,","Кожевников Сергей Михайлович","8 (34774) 2-11-71","(34774) 2-11-71",+7(34774)2-11-71,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Архангельское"
2,31,"Аскинское РОСП","452880, Россия, Респ. Башкортостан, Аскинский р-н, , с. Аскино, ул. Советская, д. 5, ,","Загитов Наиль Фанзавиевич","8 (34771) 2-19-46","(34771) 2-19-46 ",+7(34771)2-19-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Архангельское"
2,32,"Аургазинское РОСП","453480, Россия, Респ. Башкортостан, Аургазинский р-н, , с. Толбазы, ул. Ленина, д. 109, ,","Ульданова Эльвира Ринатовна","(34745) 2-11-34","(34745) 2-11-34 ",+7(34745)2-11-34,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Толбазы"
2,33,"Бакалинское РОСП","452650, Россия, Респ. Башкортостан, Бакалинский р-н, , с. Бакалы, ул. Ленина, д. 110, ,","Данилов Олег Анатольевич","8 (34742) 3-26-56","(34742) 2-26-56",+7(34742)3-26-56,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Бакалы"
2,34,"Балтачевское РОСП","452980, Россия, респ. Башкортостан, Балтачевский р-он, , с. Старобалтачево, ул. Комсомольская, д. 2, ,","Ахкамов Алмаз Рафхатович","8 (34753) 2-00-26","(34753) 2-19-94",+7(34753)2-00-26,+7(347)272-16-46,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","с Старобалтачево"
2,35,"Белокатайское РОСП","452580, Россия, респ. Башкортостан, Белокатайский р-он, , с. Новобелокатай, ул. Советская, д. 2, ,","Ваганова Надежда Николаевна","8 (34750) 2-10-98","(34750) 2-24-35",+7(34750)2-10-98,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Новобелокатайский сельсовет"
2,36,"Бижбулякское РОСП","452040, Россия, Респ. Башкортостан, Бижбулякский р-н, , с. Бижбуляк, ул. Советская, д. 29, ,","Харрасов Гамиль Галиевич","8 (34743) 2-11-79","(34743) 2-28-29 ",+7(34743)2-11-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Бижбулякский сельсовет"
2,37,"Благоварское РОСП","452740, Россия, Респ. Башкортостан, Благоварский р-н, , с. Языково, ул. Ленина, д. 12, ,","Гизетдинов Руслан Маратович","8 (34747) 2-20-44","(34747) 2-25-80",+7(34747)2-20-44,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Языковский сельсовет"
2,38,"Буздякское РОСП","452710, Россия, Респ. Башкортостан, Буздякский р-н, , с. Буздяк, ул. Гагарина, д. 8, корп. 1,","Рахимкулова Айгуль Зуфаровна","8 (34773) 3-36-22","(273) 3-36-22",+7(34773)3-36-22,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Буздякский сельсовет"
2,39,"Бураевское РОСП","452960, Россия, Респ. Башкортостан, Бураевский р-н, , с. Бураево, ул. Ленина, д. 74, ,","Зайруллина Валерия Евгеньевна","(34756) 2-17-74 ","(34756) 2-17-74",+7(34756)2-17-74,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Бураевский сельсовет"
2,40,"Бурзянское РОСП","453580, Россия, Респ. Башкортостан, , , с. Старосубхангулово, ул. Уральская, 3, , ","Ярмухаметов Рафиль Равилевич","8 (34755) 3-63-55","(34755) 3-63-55",+7(34755)3-63-55,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Старосубхангуловский сельсовет"
2,41,"Гафурийское РОСП","453050, Россия, Респ. Башкортостан, Гафурийский р-н, , с. Красноусольский, ул. Коммунистическая, д. 18, ,","Ракитин Евгений Игоревич","8 (34740) 2-13-57","(34740) 2-13-57 ",+7(34740)2-13-57,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Красноусольский сельсовет"
2,42,"ОСП по Дуванскому и Кигинскому районам","452530, Россия, Респ. Башкортостан, Дуванский р-н, , с. Месягутово, ул. И.Усова, д. 18, ,","Капитанова Юлия Марсовна",+7(347)272-16-46,"(34798) 3-20-25 ",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Месягутовский сельсовет"
2,43,"Ермекеевское РОСП","452190, Россия, Респ. Башкортостан, Ермекеевский р-н, , с. Ермекеево, ул. Ленина, д. 7, ,","Гумерова Альбина Шамиловна","8 (34741) 2-22-24","(34741)2-22-24 ",+7(34741)2-22-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Ермекеевский сельсовет"
2,44,"Зианчуринское РОСП","453380, Россия, Респ. Башкортостан, Зианчуринский р-н, , с. Исянгулово, пер. Блюхера, д. 6, ,","Ахметов Руслан Махмутович","8 (34785) 2-13-69","(34785) 2-13-69",+7(34785)2-13-69,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Исянгуловский сельсовет"
2,45,"Зилаирское РОСП","453680, Россия, респ. Башкортостан, Зилаирский р-он, , с. Зилаир, ул. Ленина, д. 64, корп. А,","Трубникова Елена Михайловна","8 (34752) 2-12-43","(34752) 2-21-02",+7(34752)2-12-43,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Зилаирский сельсовет"
2,46,"Иглинское РОСП","452410, Россия, Респ. Башкортостан, Иглинский р-н, , с. Иглино, ул. Ленина, д. 7, ,","Ибрагимов Фанис Фаритович",+7(347)272-16-46,"(34795) 2-24-40",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Иглинский сельсовет"
2,47,"Илишевское РОСП","452260, Россия, Респ. Башкортостан, Илишевский р-н, , с. Верхнеяркеево, ул. Советская, д. 37, ,","Анваров Данис Хайдарович",+7(347)272-16-46,"(34762) 5-19-92",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Яркеевский сельсовет"
2,48,"Калтасинское РОСП","452860, Россия, Респ. Башкортостан, , , с. Калтасы, ул. К.Маркса, д. 59, , ","Хизбуллин Руслан Флоритович","8 (34779) 4-19-81","(34779) 4-19-81",+7(34779)4-19-81,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Калтасинский сельсовет"
2,50,"Кармаскалинское РОСП","453020, Россия, респ. Башкортостан, Кармаскалинский р-он, , с. Кармаскалы, ул. Садовая, д. 22, ,","Алтынчурина Нурзиля Нурфаязовна",+7(347)272-16-46,"(34765) 2-26-80",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Кармаскалинский сельсовет"
2,52,"Кугарчинское РОСП","453331, Россия, Респ. Башкортостан, Кугарчинский р-н, , с. Мраково, ул. Ленина, д. 17, , ","Исмагилов Фидан Лукманович","8 (34789) 2-20-98","(34789) 2-20-93 ",+7(34789)2-20-98,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Мраковский сельсовет"
2,53,"Кушнаренковское РОСП","452230, Россия, Респ. Башкортостан, , , с. Кушнаренково, ул. Рабочая, 1, , ","Гилязев Адип Ахняфович","8 (34780) 5-80-34","(34780) 5-73-09 ",+7(34780)5-80-34,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Кушнаренковский сельсовет"
2,55,"Мечетлинское РОСП","452550, Россия, Респ. Башкортостан, Мечетлинский р-н, , с. Большеустьикинское, ул. Советская, д. 25, ,","Шаяхметов Ильдар Ракипович","8 (34770) 2-02-82","(34770) 2-02-82",+7(34770)2-02-82,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Большеустьикинский сельсовет"
2,56,"Мишкинское РОСП","452340, Россия, Респ. Башкортостан, Мишкинский р-н, , с. Мишкино, ул. Мира, д. 6, ,","Ахметова Виктория Аликовна","(34749) 2-12-27","(34749) 2-12-27",+7(34749)2-12-27,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Мишкинский сельсовет"
2,57,"Миякинское РОСП","452080, Россия, Респ. Башкортостан, Миякинский р-н, , с. Киргиз-Мияки, ул. Губайдуллина, д. 108, ,","Вильданова Олеся Андреевна","8 (34788) 2-22-62","(34788) 2-22-62 ",+7(34788)2-22-62,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Миякинский сельсовет"
2,58,"Нуримановское РОСП","452440, Россия, Респ. Башкортостан, Нуримановский р-н, , с. Красная Горка, ул. Пионерская, д. 8, ,","Говорко Антон Викторович","8 (34776) 2-29-74","(34776) 2-29-74",+7(34776)2-29-74,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Красногорский сельсовет"
2,59,"Салаватское РОСП","452490, Россия, Респ. Башкортостан, Салаватский р-н, , с. Малояз, ул. Советская, д. 63, ,","Зарафутдинова Миляуша Идрисовна","8 (34777) 2-14-82","(34777) 2-14-82",+7(34777)2-14-82,+73472721646," Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Салаватский сельсовет"
2,60,"Стерлибашевское РОСП","453180, Россия, Респ. Башкортостан, Стерлибашевский р-н, , с. Стерлибашево, ул. Карла Маркса, д. 91, ,","Аминов Урал Минихазиевич","8 (34739) 2-21-79","(34739) 2-21-79",+7(34739)2-21-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Стерлибашевский сельсовет"
2,61,"Татышлинское РОСП","452830, Россия, Респ. Башкортостан, Татышлинский р-н, , с. Верхние Татышлы, ул. Ленина, д. 79, ,","Салимов Ильнур Минисламович","8 (34739) 2-21-79","(34778) 2-14-86",+7(34778)2-21-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Верхнетатышлинский сельсовет"
2,62,"Уфимское РОСП","450024, Россия, Респ. Башкортостан, , г. Уфа, , ул. Мусоргского, д. 19, корп. б,","Янчурин Раиль Рамилевич",+7(347)272-16-46,(347)227-65-13,+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- город Уфа"
2,63,"Федоровское РОСП","453280, Россия, Респ. Башкортостан, Федоровский р-н, , с. Федоровка, ул. Ленина, д. 45, ,","Камышлов Сергей Дмитриевич","8 (34746) 2-73-05","(34746) 2-73-05",+7(34746)3-73-05,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","- Федоровский сельсовет"
