ull name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Управление Федеральной службы судебных приставов по Чувашской Республике - Чувашии","УФССП России по Чувашской Республике - Чувашии","Борисов Денис Анатольевич","Врио руководителя УФССП России по Чувашской Республике - Чувашии — главного судебного пристава Чувашской Республики - Чувашии","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","428023,Чувашия. Чувашская Республика -, г. Чебоксары, ул. Энтузиастов, д. 34, корп. а,","Понедельник - четверг с 9.00 до 18.00, перерыв с 13.00 до 13.45, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45","97701000","97401000000","75690382","1042129024112","2129056035","8 (8352) 30 62 50","+7(8352) 30-60-99","+7(8352) 41-27-17","https://r21.fssp.gov.ru","mail@r21.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Алтайскому краю","ГУФССП России по Алтайскому краю","Лабутин Дмитрий Николаевич ","Врио руководителя ГУФССП России по Алтайскому краю — главного судебного пристава Алтайского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","656056,Алтайский край, г. Барнаул, ул. Пушкина, 17,","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45","01701000","01401000000","56004257","1042202282407","2225066621","8 (3852) 29-59-38","+7(3852)24-84-98","+7(3852)63-96-06","https://r22.fssp.gov.ru","mail@r22.fssp.gov.ru"
"Главное Управление Федеральной службы судебных приставов по Краснодарскому краю","ГУФССП России по Краснодарскому краю","Ткаченко Дмитрий Григорьевич ","Руководитель - главный судебный пристав Краснодарского края ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","350063, г. Краснодар, ул. Красная, д. 22","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","03701000","03401000000","74268385","1042304982499","2309090532","8 (861) 262 04 77","(861) 262-74-12","(861) 262-63-60","https://r23.fssp.gov.ru","mail@r23.fssp.gov.ru"
"Главное Управление Федеральной службы судебных приставов по Красноярскому краю","ГУФССП России по Красноярскому краю","Васильев Виталий Сергеевич","Руководитель ГУФССП России по Красноярскому краю - Главный судебный пристав Красноярского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","660135,, г. Красноярск, ул. 6-я Полярная, 2, ","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 17.00","04701000",,"74877859","1042402980355","2466124527","8 (391) 222-02-44",,,"https://r24.fssp.gov.ru","mail@r24.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Приморскому краю","ГУФССП России по Приморскому краю","Протопопова Элеонора Борисовна","Руководитель ГУФССП России по Приморскому краю - главный судебный пристав Приморского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","690091,Приморский край, г. Владивосток, ул. Посьетская, д. 48,","Понедельник - пятница с 9:00 до 18:00, перерыв с 13:00 до 14:00","05701000","05401000000",,,"2540108500","8 (423) 249-37-10",,"+7(423)241-34-09","https://r25.fssp.gov.ru","mail@r25.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ставропольскому краю","УФССП России по Ставропольскому краю","Захарова Марина Анатольевна","Руководитель УФССП России по Ставропольскому краю - главный судебный пристав Ставропольского края ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","355017,Ставропольский край, г. Ставрополь, ул. Маршала Жукова, 46,","Понедельник - четверг с 9.00 до 18.00, пятница 9.00 до 16.45, перерыв с 13.00 до 13.45","07701000","07401000000","75050754","1042600340914","2634063910"," 8 (8652) 25-81-91","+7(8652) 24-10-12","+7(8652) 24-06-88","https://r26.fssp.gov.ru","mail@r26.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Хабаровскому краю и Еврейской автономной области","ГУФССП России по Хабаровскому краю и Еврейской автономной области","Касьяненко Анатолий Анатольевич","Руководитель Главного управления Федеральной службы судебных приставов по Хабаровскому краю и Еврейской автономной области - главный судебный пристав Хабаровского края и Еврейской автономной области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","680000,Хабаровский край, г. Хабаровск, ул. Карла Маркса, д. 60, б,","Понедельник - пятница c 9:00 до 18:00,перерыв с 13:00 до 14:00","08701000","08401000000","74564222","1042700170127","2721121647","8 (4212) 39-96-31","8 (4212) 39-96-69","8 (4212) 39-96-27","https://r27.fssp.gov.ru","mail@r27.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Амурской области","УФССП России по Амурской области","Засядько Светлана Владимировна","Руководитель  Управления Федеральной службы судебных приставов по Амурской области – Главный судебный пристав  Амурской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","675000, Амурская область, г. Благовещенск, пер. Пограничный, 10","Понедельник - пятница с 8:00 до 17:00, перерыв с 12:00 до 13:00","10701000","10401000000","70698634","1042800037224","2801100515","8 (4162) 59-90-78","+7(4162)59-90-73","+7(4162)59-90-72","https://r28.fssp.gov.ru","mail@r28.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Архангельской области и Ненецкому автономному округу","УФССП России по Архангельской области и Ненецкому автономному округу","Юшманов Иван Александрович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","163072,Архангельская обл., г. Архангельск, Обводный канал пр-кт, д. 111,","Понедельник - четверг с 8.30 до 17.45, пятница с 8.30 до 17.00, перерыв с 12.30 до 13.30 ","11701000","11401000000","75032153","1042900050423","2901280614","8 (8182) 41-25-98",,,"https://r29.fssp.gov.ru","mail@r29.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Астраханской области","УФССП России по Астраханской области","Юдин Александр Викторович","Руководитель Управления","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","414056,Астраханская обл., г. Астрахань, ул. Куйбышева, 67,","Понедельник - пятница с 8:30 до 17:30, перерыв с 12:30 до  13:15","12701000","12401000000","72614601","1043000718210","3015067331","8 (8512) 44-12-94","+7(8512) 39-43-09","+7(8512) 44-12-88","https://r30.fssp.gov.ru","mail@r30.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Белгородской области","УФССП России по Белгородской области","Казанов Денис Николаевич","Руководитель УФССП России по Белгородской области – главный судебный пристав Белгородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","308002,Белгородская обл, Белгород г, Б.Хмельницкого пр-кт, 109 ","Понедельник - четверг с 08.30 до 17.30, пятница с 08.30 до 16.15","14701000","14401365000","74414728","1043107047422","3123113698","8 (4722) 31-24-60",,"(4722) 34-73-94","https://r31.fssp.gov.ru","mail@r31.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Брянской области","УФССП России по Брянской области","Бывшева Елена Федоровна","Руководитель УФССП России по Брянской области — главный судебный пристав Брянской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","241050,Брянская обл., г. Брянск, ул. Дуки, д. 59А,","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 17.00, перерыв с 13.00 до 13.48","15701000","15401000000","71148373","1043244052070","3250057358","8 (4832) 66-88-50",,"8 (4832) 66-92-23","https://r32.fssp.gov.ru","mail@r32.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Владимирской области","УФССП России по Владимирской области","Тамарин Андрей Маркович","Врио руководителя УФССП России по Владимирской области — главного судебного пристава Владимирской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","600017,Владимирская обл., г. Владимир, ул. Горького, д. 2а,","Понедельник - четверг с 08:30 до 17:30, пятница с 08:30 до 16:15, перерыв с 13:00 до 13:45","17737000","17401000000","75632054","1043301819274","3327818953","8 (4922) 40 17 17","+7(4922)40-17-04","+7(4922)33-53-75","https://r33.fssp.gov.ru","mail@r33.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Волгоградской области","ГУФССП России по Волгоградской области","Косогорская Галина Владимировна","Руководитель Главного управления Федеральной службы судебных приставов — главный судебный пристав Волгоградской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","400001,Волгоградская обл., г. Волгоград, ул. им. Калинина, д. 4,","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45","18701000","18401363000","74921158","1043400443041","3445071308","8 (8442) 95 99 95","+7(8442) 93-20-40","+7(8442) 97-32-17","https://r34.fssp.gov.ru","mail@r34.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Вологодской области","УФССП России по Вологодской области","Салмина Ирина Александровна","Руководитель УФССП России по Вологодской области - главный судебный пристав Вологодской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","160025,Вологодская обл., г. Вологда, ул. Петрозаводская, д. 3,","Понедельник - четверг с 8.30 до 17.30, пятница с 8.30 до 16.15","19701000","19401000000","00073826","1043500095704","3525144985","8 (8172) 57-16-00",,"+7 (8172) 57-16-10","https://r35.fssp.gov.ru","mail@r35.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Воронежской области","УФССП России по Воронежской области","Паринов Руслан Николаевич","Руководитель УФССП России по Воронежской области - главный судебный пристав Воронежской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","394006,, г. Воронеж, ул. Краснознаменная, д. 2, ","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45 ","20000000","20401380000","74348983","1043600196221","3664062377","8 (473) 269-98-44","+7(473)269-98-03","+7(473)278-24-88","https://r36.fssp.gov.ru","mail@r36.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ивановской области","УФССП России по Ивановской области","Тяпкина Наталья Витальевна","Руководитель Управления - Главный судебный пристав ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","153000, Ивановская обл.,г.Иваново, ул.Багаева, д.27","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 по 16.45","24701000","24401000000","73217799","1043700122454","3702065237","8 (4932) 48-26-50","+7(4932)41-16-44","+7(4932)32-61-45","https://r37.fssp.gov.ru","mail@r37.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Иркутской области","ГУФССП России по Иркутской области","Токаев Аслан Казбекович","Руководитель ГУФССП России по Иркутской области - главный судебный пристав Иркутской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","664047,Иркутская обл., г. Иркутск, ул. Партизанская, д. 79,","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 17:00, перерыв с 12:30 до 13:18","25701000","25401000000","00013474","1043801066781","3811085917","8 (3952)21-44-11","+7(3952)21-43-01","+7(3952)21-52-13","https://r38.fssp.gov.ru","mail@r38.fssp.gov.ru"
